2,92.099,90.933,91.920,91.091
3,91.536,90.483,91.101,91.300
4,91.625,90.359,91.298,91.274
5,91.359,89.501,91.273,89.625
1,89.776,88.231,89.554,89.634
2,90.356,89.596,89.614,90.080
3,90.404,89.352,90.084,89.689
4,90.162,89.408,89.684,89.585
5,89.922,88.599,89.610,89.785
1,89.978,89.349,89.350,89.514
2,89.648,88.617,89.514,88.819
3,89.386,87.992,88.810,88.604
4,88.714,88.136,88.591,88.390
5,89.872,88.351,88.388,89.753
1,90.443,89.523,89.523,89.814
2,90.180,89.433,89.828,89.702
3,89.897,88.824,89.687,89.444
4,90.769,89.270,89.384,90.551
5,91.317,90.503,90.552,90.888
1,91.129,90.375,90.985,90.537
2,91.063,90.083,90.521,90.761
3,91.203,90.624,90.710,90.967
4,91.705,90.768,90.970,91.285
5,92.113,91.276,91.317,92.044
1,92.277,91.569,92.130,92.173
2,92.322,91.706,92.174,91.791
3,91.811,90.554,91.780,90.710
4,91.611,90.244,90.732,91.411
5,91.575,89.920,91.409,90.096
1,90.691,89.184,89.678,90.220
2,90.570,89.872,90.228,90.329
3,91.316,90.042,90.322,90.751
4,90.858,89.988,90.718,90.723
5,90.856,89.607,90.740,89.879
1,90.250,89.701,89.990,89.925
2,90.172,89.684,89.961,89.812
3,90.035,89.284,89.818,89.839
4,90.604,89.642,89.844,90.348
5,90.409,89.458,90.350,89.649
1,89.707,88.754,89.537,89.045
2,89.533,88.731,89.047,89.251
3,89.478,89.009,89.239,89.301
4,89.434,88.639,89.296,88.959
5,89.131,88.680,88.977,88.850
1,89.186,88.563,88.923,88.965
2,89.055,88.351,88.960,88.497
3,88.632,87.209,88.489,87.333
4,87.480,86.289,87.329,86.575
5,87.013,84.832,86.553,86.467
1,87.025,85.859,86.647,86.415
2,87.528,86.158,86.331,86.680
3,87.487,86.588,86.667,87.376
4,88.473,87.363,87.380,88.257
5,90.769,87.992,88.279,90.524
1,90.368,89.041,90.171,89.502
2,89.479,88.172,89.474,88.420
