Date,Open,High,Low,Close,Volume,Adj Close
8/22/2014,199.339996,199.690002,198.740005,199.190002,76107000,194.337734
8/21/2014,199.089996,199.759995,198.929993,199.5,67791000,194.64018
8/20/2014,198.119995,199.160004,198.080002,198.919998,72763000,194.074307
8/19/2014,197.839996,198.539993,197.440002,198.389999,59135000,193.557219
8/18/2014,196.800003,197.449997,196.690002,197.360001,75424000,192.552311
8/15/2014,196.470001,196.649994,194.309998,195.720001,139951000,190.952262
8/14/2014,195.160004,195.759995,194.979996,195.759995,57371000,190.991281
8/13/2014,194.289993,195.059998,193.960007,194.839996,69047000,190.093694
8/12/2014,193.610001,194.149994,192.940002,193.529999,73632000,188.815608
8/11/2014,193.970001,194.660004,193.710007,193.800003,74544000,189.079035
8/8/2014,191.460007,193.369995,190.949997,193.240005,117014000,188.532679
8/7/2014,192.940002,193.130005,190.550003,191.029999,135733000,186.376508
8/6/2014,191.110001,192.889999,191.080002,192.070007,94818000,187.391182
8/5/2014,193.100006,193.600006,191.309998,192.009995,152690000,187.332631
8/4/2014,192.869995,194.300003,192.050003,193.889999,91340000,189.166839
8/1/2014,192.559998,193.759995,191.570007,192.5,189261000,187.8107
7/31/2014,195.610001,195.779999,192.970001,193.089996,183479000,188.386324
7/30/2014,197.649994,197.910004,196.160004,196.979996,104222000,192.181563
7/29/2014,198.169998,198.449997,196.919998,196.949997,80466000,192.152295
7/28/2014,197.759995,198.089996,196.619995,197.800003,69259000,192.981595
7/25/2014,198.089996,198.259995,197.330002,197.720001,76837000,192.903542
7/24/2014,198.830002,199.059998,198.449997,198.649994,56888000,193.81088
7/23/2014,198.5,198.850006,198.100006,198.639999,65612000,193.801129
7/22/2014,198.009995,198.559998,197.869995,198.199997,67678000,193.371845
7/21/2014,197.089996,197.5,196.429993,197.339996,67592000,192.532794
7/18/2014,196.350006,197.910004,196.240005,197.710007,124330000,192.893791
7/17/2014,197.350006,198.100006,195.429993,195.710007,145398000,190.942511
